タイトル,システム,ふりがな
片鱗,クトゥルフ,へんりん
「そ」の果肉を味わって,クトゥルフ,そのかにくをあじわって
マフィア珍道中,クトゥルフ,まふぃあちんどうちゅう
オレンジの片割れ,クトゥルフ,おれんじのかたわれ
誰がロックを殺すのか,クトゥルフ,だれがろっくをころすのか
スターズ・ロッキン・ミー！,クトゥルフ,すたーず・ろっきん・みー！
ハッピーサマーバケーション,クトゥルフ,はっぴーさまーばけーしょん
ヴィラ・アネッロ,インセイン,ヴぃらあねっろ
忘霊,インセイン,ぼうれい
風聴病,インセイン,ふうちょうびょう
楽園,インセイン,らくえん
交×錯×点,マギカロギア,こうさてん
不辜のサァカス ナイフノモツレ,クトゥルフ,ふこのさぁかすないふのもつれ
ネコ忍者の襲撃！,クトゥルフ,ねこにんじゃのしゅうげき！
妖面閃貌,クトゥルフ,ようめんせんぼう
AND/HAND,クトゥルフ,あんどはんど
ヒトノマツリ,クトゥルフ,ひとのまつり
ようこそ！迷冥市役所都市伝説課へ！,クトゥルフ,ようこそ！めいめいしやくしょとしでんせつかへ！
ホルマリン漬けの心臓,クトゥルフ,ほるまりんづけのしんぞう
紫陽花の花は何故青い,クトゥルフ,あじさいのはなはなぜあおい
灼熱さえあればいい,クトゥルフ,しゃくねつさえあれば
傀逅,クトゥルフ,かいこう
誰もいなくならない誘拐事件,クトゥルフ,だれもいなくならないゆうかいじけん
騒々,クトゥルフ,さいさい
アパート,クトゥルフ,あぱーと
ハイド/ロイド,クトゥルフ,はいどろいど
え!?お前バニークラブで働いてたってマジ!?,クトゥルフ,え！？おまえばにーくらぶではたらいてたってまじ！？
月夜に蠢くルーガルー,クトゥルフ,つきよにとどろくるーがるー
かいぶつたちとマホラカルト,クトゥルフ,かいぶつたちとまほらかると
無辜なきかいぶつたちのカオス,クトゥルフ,むこなきかいぶつたちのかおす
Click-C*,クトゥルフ,くりっくしー
惡情華人街,クトゥルフ,あくじょうかじんがい
檻幻,クトゥルフ,かんげん
獣のディーヴァ,クトゥルフ,けもののでぃーヴぁ
