タイトル,システム,PL通過,回し経験,部屋,PC人数,要素,ふりがな
99度目の春は来ない,クトゥルフ,No,No,No,"3PL, 4PL, 5PL",,きゅうじゅうきゅうどめのはるはこない
サイシュ―＊―列車,クトゥルフ,No,No,No,"2PL, 3PL, 4PL",クローズド,さいしゅーれっしゃ
古ヨリ来タル,クトゥルフ,No,No,No,"3PL, 4PL",シティ,いにしえよりきたる
今日も花は美しい,クトゥルフ,No,No,No,"2PL, 3PL, 4PL",シティ,きょうもはなはうつくしい
ヒーロー,クトゥルフ,No,No,No,"3PL, 4PL",,ひーろー
地の底で眠れ,クトゥルフ,No,No,No,"1PL, 2PL, 3PL",,ちのそこでねむれ
ミュージアムの夜,クトゥルフ,No,No,No,"1PL, 2PL, 3PL, 4PL, 5PL",クローズド,みゅーじあむのよる
吸血鬼の住まう城,クトゥルフ,No,No,No,3PL,秘匿HOあり,きゅうけつきのすまうしろ
蠢く白,クトゥルフ,No,No,No,"2PL, 3PL, 4PL",シティ,うごめくしろ
キミガノゾンダモノ,クトゥルフ,No,No,No,"3PL, 4PL, 5PL",シティ,きみがのぞんだもの
コーレス・コーラス！,クトゥルフ,No,No,No,"3PL, 4PL",シティ,こーれす・こーらす！
不可逆性のオブリガート,クトゥルフ,Yes,No,No,2PL,"クローズド, 秘匿HOあり",ふかぎゃくせいのおぶりがーと
Oh My UNIVERSE！,クトゥルフ,No,No,No,2PL,"シティ, 秘匿HOあり",おうまいゆにばーす！
